damping,omega,rmse
0.15000000000000002,2.3,0.10249876023809461
0.15000000000000002,2.32,0.07888993619561878
0.15000000000000002,2.34,0.05790412004011628
0.15000000000000002,2.36,0.044009312327282626
0.15000000000000002,2.38,0.044588372757233985
0.15000000000000002,2.4,0.059104992283272914
0.15000000000000002,2.42,0.08010536830943554
0.15000000000000002,2.44,0.10345401704111219
0.15000000000000002,2.46,0.12757689302417072
0.15000000000000002,2.48,0.1517928623201496
0.15000000000000002,2.5,0.17573193621676267
0.16000000000000003,2.3,0.09668395811863052
0.16000000000000003,2.32,0.07305865386447902
0.16000000000000003,2.34,0.05142995338040999
0.16000000000000003,2.36,0.036233832170364154
0.16000000000000003,2.38,0.03682160258567892
0.16000000000000003,2.4,0.052571619757488745
0.16000000000000003,2.42,0.07419406147113165
0.16000000000000003,2.44,0.09760594628076172
0.16000000000000003,2.46,0.12148787840577123
0.16000000000000003,2.48,0.1452984942385459
0.16000000000000003,2.5,0.16874172934249312
0.17,2.3,0.09288689938085097
0.17,2.32,0.06979715471857968
0.17,2.34,0.048442981047615526
0.17,2.36,0.03308926031835558
0.17,2.38,0.03364632115095019
0.17,2.4,0.04950486525926264
0.17,2.42,0.07086758076357066
0.17,2.44,0.09379981857804494
0.17,2.46,0.11710076228745095
0.17,2.48,0.14028404456190774
0.17,2.5,0.16308227595663757
0.18000000000000002,2.3,0.0909547491836847
0.18000000000000002,2.32,0.06894225854255939
0.18000000000000002,2.34,0.04884002068770293
0.18000000000000002,2.36,0.034784183453541125
0.18000000000000002,2.38,0.03526034778325443
0.18000000000000002,2.4,0.04979828498664911
0.18000000000000002,2.42,0.06995642248925515
0.18000000000000002,2.44,0.09187385685128795
0.18000000000000002,2.46,0.11427191122650031
0.18000000000000002,2.48,0.1366224330669436
0.18000000000000002,2.5,0.15863952097145112
0.19,2.3,0.09066583258451798
0.19,2.32,0.07014902833618447
0.19,2.34,0.051965415468900364
0.19,2.36,0.039966713521046235
0.19,2.38,0.040352199995983544
0.19,2.4,0.05281361046835187
0.19,2.42,0.07111277636794737
0.19,2.44,0.09159848520047961
0.19,2.46,0.11283011994710779
0.19,2.48,0.13417584759427295
0.19,2.5,0.15529651587725235
0.2,2.3,0.09175318376211919
0.2,2.32,0.07296777542974425
0.2,2.34,0.056933441203111425
0.2,2.36,0.04697418105454669
0.2,2.38,0.04728832176596643
0.2,2.4,0.05768367179165266
0.2,2.42,0.07388648282417544
0.2,2.44,0.09270078798429261
0.2,2.46,0.11258608149397296
0.2,2.48,0.13279978972831627
0.2,2.5,0.15293517251082964
0.21000000000000002,2.3,0.09393740632585737
0.21000000000000002,2.32,0.07694586735397989
0.21000000000000002,2.34,0.06297823393032086
0.21000000000000002,2.36,0.05473168951413703
0.21000000000000002,2.38,0.05499600075547347
0.21000000000000002,2.4,0.06364987857510081
0.21000000000000002,2.42,0.07782502545213513
0.21000000000000002,2.44,0.0948976180605392
0.21000000000000002,2.46,0.11334506070451957
0.21000000000000002,2.48,0.1323484487231254
0.21000000000000002,2.5,0.1514386443159741
0.22000000000000003,2.3,0.09695581978013247
0.22000000000000003,2.32,0.08169655329848736
0.22000000000000003,2.34,0.06956835375617781
0.22000000000000003,2.36,0.06268346569125284
0.22000000000000003,2.38,0.06291360677987473
0.22000000000000003,2.4,0.07017965967955687
0.22000000000000003,2.42,0.08254135994949761
0.22000000000000003,2.44,0.0979243995734775
0.22000000000000003,2.46,0.11491921331736937
0.22000000000000003,2.48,0.1326802440852986
0.22000000000000003,2.5,0.15069389719901924
0.23,2.3,0.10058046196726729
0.23,2.32,0.0869217839451809
0.23,2.34,0.07637104800174555
0.23,2.36,0.07055718988298924
0.23,2.38,0.07076343798572007
0.23,2.4,0.07693630507542651
0.23,2.42,0.08773666897486411
0.23,2.44,0.10155254207763487
0.23,2.46,0.11713692652407001
0.23,2.48,0.1336625486755656
0.23,2.5,0.15059406634537859
0.24,2.3,0.10462465499297408
0.24,2.32,0.0924058322024759
0.24,2.34,0.08318694737801852
0.24,2.36,0.07822079030120282
0.24,2.38,0.0784097616548772
0.24,2.4,0.08371650893761486
0.24,2.42,0.09319426133384516
0.24,2.44,0.10559546535511442
0.24,2.46,0.11984819314761204
0.24,2.48,0.13517501727357542
0.24,2.5,0.15104031203683002
0.25,2.3,0.10894168009244067
0.25,2.32,0.09799830829412329
0.25,2.34,0.0898991706711739
0.25,2.36,0.08561212774911671
0.25,2.38,0.08578811017983114
0.25,2.4,0.09040029417059613
0.25,2.42,0.09876282643449463
0.25,2.44,0.10990689584924813
0.25,2.46,0.12292638853509424
0.25,2.48,0.137111388648812
0.25,2.5,0.15194303624622627
