damping,omega,rmse
0.05,2.0,0.5632003004648356
0.05,2.1,0.5032551358638054
0.05,2.2,0.397202155569239
0.05,2.3,0.27958520617264165
0.05,2.4,0.25905641392316925
0.05,2.5,0.34399692984082453
0.05,2.5999999999999996,0.4631488816259451
0.05,2.6999999999999997,0.5476883969479925
0.05,2.8,0.5842543958718042
0.1,2.0,0.45230979609071875
0.1,2.1,0.3883531032957248
0.1,2.2,0.2857071833194868
0.1,2.3,0.1640656086049294
0.1,2.4,0.13254279254527093
0.1,2.5,0.23439791623788397
0.1,2.5999999999999996,0.35043622429045973
0.1,2.6999999999999997,0.4328702011845495
0.1,2.8,0.47641435730945425
0.15,2.0,0.38020719874103087
0.15,2.1,0.3170689900198148
0.15,2.2,0.22204971022390357
0.15,2.3,0.10290398274807311
0.15,2.4,0.05919977176670616
0.15,2.5,0.17481986115037015
0.15,2.5999999999999996,0.28230740660193776
0.15,2.6999999999999997,0.35968050500293514
0.15,2.8,0.4058773506907267
0.2,2.0,0.33292317045736874
0.2,2.1,0.27387764311107543
0.2,2.2,0.19074516247136517
0.2,2.3,0.09120919950540027
0.2,2.4,0.055655602246394834
0.2,2.5,0.1511530100021283
0.2,2.5999999999999996,0.2432988205536763
0.2,2.6999999999999997,0.3129855427578522
0.2,2.8,0.35869826798155385
0.25,2.0,0.30198874371418133
0.25,2.1,0.24897393571602827
0.25,2.2,0.17994456245764498
0.25,2.3,0.10770742481991206
0.25,2.4,0.08803193469262954
0.25,2.5,0.14959094035820494
0.25,2.5999999999999996,0.22312151684636758
0.25,2.6999999999999997,0.2835838743574002
0.25,2.8,0.3267087219773328
0.3,2.0,0.2820530467759389
0.3,2.1,0.23584566315113623
0.3,2.2,0.18048852352934464
0.3,2.3,0.12995747846533057
0.3,2.4,0.11838171537757469
0.3,2.5,0.15821584310412964
0.3,2.5999999999999996,0.21461968382019625
0.3,2.6999999999999997,0.26561989919984924
0.3,2.8,0.30494501648412736
0.35,2.0,0.26959285080836165
0.35,2.1,0.23010688375202928
0.35,2.2,0.18640981795635755
0.35,2.3,0.1506289904547889
0.35,2.4,0.14320580971921637
0.35,2.5,0.17014676494084865
0.35,2.5999999999999996,0.21295535072233235
0.35,2.6999999999999997,0.25522811983848737
0.35,2.8,0.2902443784262344
